,city,lat,lon,temp,cloud,wind speed,humidity,country
97,kapaa,22.0752,-159.319,27.33,40,2.24,72,US
98,chuy,-33.6971,-53.4616,14.08,75,3.51,94,UY
99,raudeberg,61.9875,5.1352,11.1,100,5.81,90,NO
100,pitimbu,-7.4706,-34.8086,25.33,27,7.53,84,BR
101,pineville,31.3224,-92.4343,26.72,1,3.09,73,US
102,cabo san lucas,22.8909,-109.9124,30.19,20,2.06,70,MX
103,rokytne,51.2796,27.214,5.83,0,1.85,88,UA
104,east london,-33.0153,27.9116,18.15,100,8.49,78,ZA
105,kurmanayevka,52.5093,52.0675,3.51,98,5.82,76,RU
106,puerto ayora,-0.7393,-90.3518,20.69,94,4.38,90,EC
107,nova vodolaha,49.7185,35.8708,6.9,71,3.02,86,UA
108,pangnirtung,66.1451,-65.7125,0.35,67,1.33,70,CA
109,kununurra,-15.7667,128.7333,27.99,92,2.06,65,AU
110,udachnyy,66.4167,112.4,0.22,100,7.14,82,RU
111,kodiak,57.79,-152.4072,7.49,100,1.62,54,US
112,ca mau,9.1769,105.15,25.89,74,1.59,88,VN
113,alofi,-19.0595,-169.9187,24.89,62,6.67,77,NU
114,huilong,31.8111,121.655,27.12,24,1.63,84,CN
115,tasiilaq,65.6145,-37.6368,3.09,1,2.92,59,GL
116,tommot,58.9564,126.2925,5.44,100,0.81,97,RU
117,bethel,41.3712,-73.414,20.48,1,3.6,65,US
118,yulara,-25.2406,130.9889,23.1,1,2.78,21,AU
119,beloha,-25.1667,45.05,21.86,35,4.76,54,MG
120,ola,59.5833,151.2833,6.82,43,0.44,70,RU
121,heze,35.2431,115.4411,19.06,100,4.53,96,CN
122,yumen,40.2833,97.2,15.46,0,2.53,22,CN
123,los llanos de aridane,28.6585,-17.9182,21.86,90,6.69,83,ES
124,osakarovka,50.565,72.5692,2.11,56,4.83,89,KZ
125,grand falls,47.0461,-67.7418,13.28,78,2.36,95,CA
126,pangkalanbuun,-2.6833,111.6167,25.81,83,1.26,89,ID
127,mayumba,-3.432,10.6554,24.36,100,2.64,89,GA
128,berlevag,70.8578,29.0864,10.65,90,5.67,81,NO
129,beinamar,8.6698,15.3813,21.71,100,0.87,87,TD
130,javanrud,34.7961,46.5172,14.92,0,1.05,25,IR
131,erenhot,43.6475,111.9767,17.51,3,9.3,45,CN
132,victoria,22.2855,114.1577,29.18,0,0.89,77,HK
133,amstetten,48.1229,14.8721,13.85,54,1.29,96,AT
134,kahului,20.8947,-156.47,28.54,40,10.29,71,US
135,taoudenni,22.6783,-3.9836,34.57,29,4.17,8,ML
136,sisimiut,66.9395,-53.6735,-1.45,0,5.27,46,GL
137,leningradskiy,69.3833,178.4167,-3.07,100,3.62,94,RU
138,bathsheba,13.2167,-59.5167,27.34,20,2.57,83,BB
139,homestead,25.4687,-80.4776,27.33,0,1.34,78,US
140,mizan teferi,6.9833,35.5833,15.32,91,1.38,94,ET
141,hithadhoo,-0.6,73.0833,27.86,99,6.02,77,MV
142,chokurdakh,70.6333,147.9167,-4.62,36,7.16,82,RU
143,banda aceh,5.5577,95.3222,25.83,99,3.82,86,ID
144,sarahan,31.5167,77.8,15.04,8,1.32,83,IN
145,salekhard,66.53,66.6019,-0.53,100,3.73,85,RU
146,ishigaki,24.3448,124.1572,28.54,40,7.93,75,JP
